book_id,original_title,normalized_title,normalized_series_key,collection_candidate_name,rule_used,confidence,volume_detected,needs_review,skip_reason,eligible_for_collection,group_count,source_type,source_page,is_expired
993,"Welcome to Japan, Ms. Elf! Volume 3","Welcome to Japan, Ms. Elf! Volume 3",welcome to japan ms elf,"Welcome to Japan, Ms. Elf!",prefix_volume_marker,high,3,True,only_one_matching_book,False,1,personal_document,pdocs,False
17,Welcome to Monstrous Miss Sophie’s Enchanted Salon of Healing Volume 1 (1),Welcome to Monstrous Miss Sophie's Enchanted Salon of Healing Volume 1 (1),welcome to monstrous miss sophie s enchanted salon of healing,Welcome to Monstrous Miss Sophie's Enchanted Salon of Healing,prefix_volume_marker,high,1,True,only_one_matching_book,False,1,personal_document,pdocs,False
18,Welcome to Olivia’s Magic Jewelers Volume 1 (1),Welcome to Olivia's Magic Jewelers Volume 1 (1),welcome to olivia s magic jewelers,Welcome to Olivia's Magic Jewelers,prefix_volume_marker,high,1,True,only_one_matching_book,False,1,personal_document,pdocs,False
1086,When We Were Dragons: A Young Adult Fantasy,When We Were Dragons: A Young Adult Fantasy,,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,False
12,When Wizards Follow Fools (Arcane Ascension 5) (Andrew Rowe) (Z-Library),When Wizards Follow Fools (Arcane Ascension 5) (Andrew Rowe),,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
1045,When Worlds Begin: A Collection of Four Fantasy Novels,When Worlds Begin: A Collection of Four Fantasy Novels,,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,False
1147,Whisper Me This: A Novel,Whisper Me This: A Novel,,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,False
1216,White Hart (White Hart Series Book 1),White Hart (White Hart Series Book 1),white hart series,White Hart Series,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1011,Why We Get Sick: The Hidden Epidemic at the Root of Most Chronic Disease--and How to Fight It,Why We Get Sick: The Hidden Epidemic at the Root of Most Chronic Disease--and How to Fight It,,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,False
1168,Wind Warrior (World Aflame Book 1),Wind Warrior (World Aflame Book 1),world aflame,World Aflame,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1234,Wonder Woman (2006-2011) #600: T-Mobile Custom Digital Comic (2017),Wonder Woman (2006-2011) #600: T-Mobile Custom Digital Comic (2017),,,no_series_match,low,,False,no_series_pattern_detected,False,0,amazon_book,booksAll,False
274,World Teacher,World Teacher,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
391,World War Z,World War Z,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
1136,Worlds Unseen (The Seventh World Trilogy Book 1),Worlds Unseen (The Seventh World Trilogy Book 1),the seventh world trilogy,The Seventh World Trilogy,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
393,You Shine in the Moonlit Night,You Shine in the Moonlit Night,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
958,You Shine in the Moonlit Night,You Shine in the Moonlit Night,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
