collection_candidate_name,normalized_series_key,book_count,confidence,needs_review,rule_used_set,book_ids,book_titles
"Demon Lord, Retry!",demon lord retry,8,high,False,prefix_volume_marker,131 | 807 | 806 | 805 | 804 | 803 | 802 | 283,"Demon Lord, Retry! - Volume 08 Premium | Demon Lord, Retry! Volume 1 | Demon Lord, Retry! Volume 2 | Demon Lord, Retry! Volume 3 | Demon Lord, Retry! Volume 4 | Demon Lord, Retry! Volume 5 | Demon Lord, Retry! Volume 6 | Demon Lord, Retry! Volume 7"
Der Werwolf: The Annals of Veight,der werwolf the annals of veight,11,high,False,prefix_volume_marker,699 | 690 | 689 | 698 | 697 | 695 | 696 | 694 | 693 | 692 | 691,Der Werwolf: The Annals of Veight Volume 1 | Der Werwolf: The Annals of Veight Volume 10 | Der Werwolf: The Annals of Veight Volume 11 | Der Werwolf: The Annals of Veight Volume 2 | Der Werwolf: The Annals of Veight Volume 3 | Der Werwolf: The Annals of Veight Volume 4 | Der Werwolf: The Annals of Veight Volume 5 | Der Werwolf: The Annals of Veight Volume 6 | Der Werwolf: The Annals of Veight Volume 7 | Der Werwolf: The Annals of Veight Volume 8 | Der Werwolf: The Annals of Veight Volume 9
Disciple of the Lich Or How I Was Cursed by the Gods and Dropped Into the Abyss!,disciple of the lich or how i was cursed by the gods and dropped into the abyss,3,high,False,prefix_volume_marker,125 | 251 | 196,Disciple of the Lich Or How I Was Cursed by the Gods and Dropped Into the Abyss! vol 4 | Disciple of the Lich: Or How I Was Cursed by the Gods and Dropped Into the Abyss! Vol. 2 | Disciple of the Lich: Or How I Was Cursed by the Gods and Dropped Into the Abyss! Vol. 3
Failure Frame - I Became the Strongest and Annihilated Everything With Low-Level Spells,failure frame i became the strongest and annihilated everything with low level spells,2,high,False,prefix_volume_marker,124 | 919,Failure Frame - I Became the Strongest and Annihilated Everything With Low-Level Spells volume 6 | Failure Frame: I Became the Strongest and Annihilated Everything With Low-Level Spells Vol. 1
Fantasy Inbound,fantasy inbound,4,high,False,prefix_volume_marker,157 | 223 | 158 | 156,Fantasy Inbound: Volume 1 | Fantasy Inbound: Volume 1 | Fantasy Inbound: Volume 2 | Fantasy Inbound: Volume 3
Full Clearing Another World under a Goddess with Zero Believers,full clearing another world under a goddess with zero believers,2,high,False,prefix_volume_marker,219 | 218,Full Clearing Another World under a Goddess with Zero Believers: Volume 1 | Full Clearing Another World under a Goddess with Zero Believers: Volume 2
Gekitotsu no Hexennacht,gekitotsu no hexennacht,3,high,False,prefix_volume_marker,554 | 553 | 552,Gekitotsu no Hexennacht vol.1 | Gekitotsu no Hexennacht vol.2 | Gekitotsu no Hexennacht vol.3
Goblin Slayer,goblin slayer,3,high,False,prefix_volume_marker,653 | 277 | 137,"Goblin Slayer, Vol. 12 | Goblin Slayer, Vol. 13 | Goblin Slayer, Vol. 14"
Hell Mode,hell mode,6,high,False,prefix_volume_marker,74 | 249 | 248 | 186 | 153 | 92,Hell Mode Volume 6 Premium | Hell Mode: Volume 1 | Hell Mode: Volume 2 | Hell Mode: Volume 3 | Hell Mode: Volume 4 | Hell Mode_ Volume 5 - Hamuo
Her Majesty's Swarm,her majesty s swarm,4,high,False,prefix_volume_marker,254 | 252 | 253 | 256,Her Majesty’s Swarm: Volume 1 | Her Majesty’s Swarm: Volume 2 | Her Majesty’s Swarm: Volume 3 | Her Majesty’s Swarm: Volume 4
How a Realist Hero Rebuilt the Kingdom,how a realist hero rebuilt the kingdom,13,high,False,prefix_volume_marker,855 | 846 | 845 | 844 | 818 | 854 | 853 | 852 | 851 | 850 | 849 | 848 | 847,How a Realist Hero Rebuilt the Kingdom: Volume 1 | How a Realist Hero Rebuilt the Kingdom: Volume 10 | How a Realist Hero Rebuilt the Kingdom: Volume 11 | How a Realist Hero Rebuilt the Kingdom: Volume 12 | How a Realist Hero Rebuilt the Kingdom: Volume 13 | How a Realist Hero Rebuilt the Kingdom: Volume 2 | How a Realist Hero Rebuilt the Kingdom: Volume 3 | How a Realist Hero Rebuilt the Kingdom: Volume 4 | How a Realist Hero Rebuilt the Kingdom: Volume 5 | How a Realist Hero Rebuilt the Kingdom: Volume 6 | How a Realist Hero Rebuilt the Kingdom: Volume 7 | How a Realist Hero Rebuilt the Kingdom: Volume 8 | How a Realist Hero Rebuilt the Kingdom: Volume 9
I Became the Strongest and Annihilated Everything With Low-Level Spells,i became the strongest and annihilated everything with low level spells,3,high,False,prefix_volume_marker,140 | 139 | 138,I Became the Strongest and Annihilated Everything With Low-Level Spells Vol. 3 | I Became the Strongest and Annihilated Everything With Low-Level Spells Vol. 4 | I Became the Strongest and Annihilated Everything With Low-Level Spells Vol. 5
"I Got A Cheat Ability In A Different World, And Become Extraordinary Even In The Real World",i got a cheat ability in a different world and become extraordinary even in the real world,5,high,False,prefix_volume_marker,359 | 358 | 357 | 356 | 355,"I Got A Cheat Ability In A Different World, And Become Extraordinary Even In The Real World vol 1 | I Got A Cheat Ability In A Different World, And Become Extraordinary Even In The Real World vol 2 | I Got A Cheat Ability In A Different World, And Become Extraordinary Even In The Real World vol 3 | I Got A Cheat Ability In A Different World, And Become Extraordinary Even In The Real World: Volume 4 | I Got A Cheat Ability In A Different World, And Become Extraordinary Even In The Real World: Volume 5"
"I Got A Cheat Ability In A Different World, And Become Extraordinary Even In The Real World (LN) volume",i got a cheat ability in a different world and become extraordinary even in the real world ln volume,2,medium,True,repeated_structured_prefix,361 | 360,"I Got A Cheat Ability In A Different World, And Become Extraordinary Even In The Real World (LN) volume 6 | I Got A Cheat Ability In A Different World, And Become Extraordinary Even In The Real World (LN) volume 7"
I Shall Survive Using Potions!,i shall survive using potions,7,high,False,prefix_volume_marker,843 | 842 | 841 | 840 | 839 | 838 | 649,I Shall Survive Using Potions! Volume 1 | I Shall Survive Using Potions! Volume 2 | I Shall Survive Using Potions! Volume 3 | I Shall Survive Using Potions! Volume 4 | I Shall Survive Using Potions! Volume 5 | I Shall Survive Using Potions! Volume 6 | I Shall Survive Using Potions! Volume 7
I've Been Killing Slimes for 300 Years and Maxed Out My Level,i ve been killing slimes for 300 years and maxed out my level,3,high,False,prefix_volume_marker,621 | 1008 | 918,"I’ve Been Killing Slimes for 300 Years and Maxed Out My Level, Vol. 10 | I’ve Been Killing Slimes for 300 Years and Maxed Out My Level, Vol. 8 | I’ve Been Killing Slimes for 300 Years and Maxed Out My Level, Vol.9"
In Another World With My Smartphone,in another world with my smartphone,21,high,False,prefix_volume_marker,905 | 904 | 903 | 902 | 893 | 892 | 891 | 890 | 889 | 888 | 887 | 901 | 886 | 885 | 900 | 899 | 898 | 897 | 896 | 895 | 894,In Another World With My Smartphone: Volume 1 | In Another World With My Smartphone: Volume 10 | In Another World With My Smartphone: Volume 11 | In Another World With My Smartphone: Volume 12 | In Another World With My Smartphone: Volume 13 | In Another World With My Smartphone: Volume 14 | In Another World With My Smartphone: Volume 15 | In Another World With My Smartphone: Volume 16 | In Another World With My Smartphone: Volume 17 | In Another World With My Smartphone: Volume 18 | In Another World With My Smartphone: Volume 19 | In Another World With My Smartphone: Volume 2 | In Another World With My Smartphone: Volume 20 | In Another World With My Smartphone: Volume 21 | In Another World With My Smartphone: Volume 3 | In Another World With My Smartphone: Volume 4 | In Another World With My Smartphone: Volume 5 | In Another World With My Smartphone: Volume 6 | In Another World With My Smartphone: Volume 7 | In Another World With My Smartphone: Volume 8 | In Another World With My Smartphone: Volume 9
In the Land of Leadale,in the land of leadale,4,high,False,prefix_volume_marker,265 | 264 | 263 | 262,"In the Land of Leadale, Vol. 1 | In the Land of Leadale, Vol. 2 | In the Land of Leadale, Vol. 3 | In the Land of Leadale, Vol. 4"
