collection_candidate_name,normalized_series_key,book_count,confidence,needs_review,rule_used_set,book_ids,book_titles
The Master of Ragnarok & Blesser of Einherjar,the master of ragnarok blesser of einherjar,15,high,False,prefix_volume_marker,732 | 723 | 722 | 721 | 720 | 719 | 718 | 731 | 730 | 729 | 728 | 727 | 726 | 725 | 724,The Master of Ragnarok & Blesser of Einherjar: Volume 1 | The Master of Ragnarok & Blesser of Einherjar: Volume 10 | The Master of Ragnarok & Blesser of Einherjar: Volume 11 | The Master of Ragnarok & Blesser of Einherjar: Volume 12 | The Master of Ragnarok & Blesser of Einherjar: Volume 13 | The Master of Ragnarok & Blesser of Einherjar: Volume 14 | The Master of Ragnarok & Blesser of Einherjar: Volume 15 | The Master of Ragnarok & Blesser of Einherjar: Volume 2 | The Master of Ragnarok & Blesser of Einherjar: Volume 3 | The Master of Ragnarok & Blesser of Einherjar: Volume 4 | The Master of Ragnarok & Blesser of Einherjar: Volume 5 | The Master of Ragnarok & Blesser of Einherjar: Volume 6 | The Master of Ragnarok & Blesser of Einherjar: Volume 7 | The Master of Ragnarok & Blesser of Einherjar: Volume 8 | The Master of Ragnarok & Blesser of Einherjar: Volume 9
"The Otherworlder, Exploring the Dungeon",the otherworlder exploring the dungeon,3,high,False,prefix_volume_marker,119 | 278 | 189,"The Otherworlder, Exploring the Dungeon vol 3 | The Otherworlder, Exploring the Dungeon, Vol. 1 | The Otherworlder, Exploring the Dungeon, Vol. 2"
The Reunion With Twelve Fascinating Goddesses,the reunion with twelve fascinating goddesses,2,high,False,prefix_volume_marker,296 | 295,The Reunion With Twelve Fascinating Goddesses vol.1 | The Reunion With Twelve Fascinating Goddesses vol.2
The Rising of the Shield Hero,the rising of the shield hero,17,high,False,prefix_volume_marker,1076 | 1063 | 1072 | 1066 | 1075 | 1061 | 1067 | 1077 | 1065 | 1071 | 1073 | 1068 | 1069 | 1062 | 1074 | 1064 | 1070,The Rising of the Shield Hero Volume 01 | The Rising of the Shield Hero Volume 02 | The Rising of the Shield Hero Volume 03 | The Rising of the Shield Hero Volume 04 | The Rising of the Shield Hero Volume 05 | The Rising of the Shield Hero Volume 06 | The Rising of the Shield Hero Volume 07 | The Rising of the Shield Hero Volume 08 | The Rising of the Shield Hero Volume 09 | The Rising of the Shield Hero Volume 10: Light Novel | The Rising of the Shield Hero Volume 11 | The Rising of the Shield Hero Volume 12 | The Rising of the Shield Hero Volume 13 | The Rising of the Shield Hero Volume 14 | The Rising of the Shield Hero Volume 15 | The Rising of the Shield Hero Volume 16 | The Rising of the Shield Hero Volume 17 (The Rising of the Shield Hero Series: Light Novel)
The Saint's Magic Power is Omnipotent,the saint s magic power is omnipotent,6,high,False,prefix_volume_marker,744 | 821 | 743 | 820 | 742 | 819,The Saint’s Magic Power is Omnipotent Vol. 1 | The Saint’s Magic Power is Omnipotent Vol. 1 | The Saint’s Magic Power is Omnipotent Vol. 2 | The Saint’s Magic Power is Omnipotent Vol. 2 | The Saint’s Magic Power is Omnipotent Vol. 3 | The Saint’s Magic Power is Omnipotent Vol. 3
The Story of One Continent - Allison and Wil and Lillia and Treize and Meg and Seron and Everyone Else,the story of one continent allison and wil and lillia and treize and meg and seron and everyone else,2,medium,True,prefix_part_marker,512 | 532,The Story of One Continent - Allison and Wil and Lillia and Treize and Meg and Seron and Everyone Else (Part 1) | The Story of One Continent - Allison and Wil and Lillia and Treize and Meg and Seron and Everyone Else (Part 2)
The Strange Adventure of a Broke Mercenary,the strange adventure of a broke mercenary,3,high,False,prefix_volume_marker,380 | 381 | 282,The Strange Adventure of a Broke Mercenary Vol. 1 | The Strange Adventure of a Broke Mercenary Vol. 2 | The Strange Adventure of a Broke Mercenary Vol. 3
The Traveler's Gate Trilogy,the traveler s gate trilogy,3,high,False,parenthetical_series_book,1018 | 1020 | 1019,City of Light (The Traveler's Gate Trilogy Book 3) | House of Blades (The Traveler's Gate Trilogy Book 1) | The Crimson Vault (The Traveler's Gate Trilogy Book 2)
The Unwanted Undead Adventurer,the unwanted undead adventurer,9,high,False,prefix_volume_marker,670 | 672 | 671 | 669 | 668 | 667 | 666 | 665 | 276,"The Unwanted Undead Adventurer, Vol. 01 | The Unwanted Undead Adventurer: Volume 2 | The Unwanted Undead Adventurer: Volume 3 | The Unwanted Undead Adventurer: Volume 4 | The Unwanted Undead Adventurer: Volume 5 | The Unwanted Undead Adventurer: Volume 6 | The Unwanted Undead Adventurer: Volume 7 | The Unwanted Undead Adventurer: Volume 8 | The Unwanted Undead Adventurer: Volume 9"
The Weakness of Beatrice the Level Cap Holy Swordswoman,the weakness of beatrice the level cap holy swordswoman,7,high,False,prefix_volume_marker,497 | 467 | 466 | 455 | 502 | 489 | 454,The Weakness of Beatrice the Level Cap Holy Swordswoman - Volume 7 | The Weakness of Beatrice the Level Cap Holy Swordswoman vol.1 | The Weakness of Beatrice the Level Cap Holy Swordswoman vol.2 | The Weakness of Beatrice the Level Cap Holy Swordswoman vol.3 | The Weakness of Beatrice the Level Cap Holy Swordswoman vol.4 | The Weakness of Beatrice the Level Cap Holy Swordswoman vol.5 | The Weakness of Beatrice the Level Cap Holy Swordswoman vol.6
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,the world s finest assassin gets reincarnated in another world as an aristocrat,3,high,False,prefix_volume_marker,326 | 325 | 324,"The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat, Vol. 1 (light novel) (The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat (light novel)) | The World’s Finest Assassin Gets Reincarnated in Another World as an Aristocrat, Vol. 2 | The World’s Finest Assassin Gets Reincarnated in Another World as an Aristocrat, Vol. 3"
The World's Strongest Rearguard: Labyrinth Country's Novice Seeker,the world s strongest rearguard labyrinth country s novice seeker,5,high,False,prefix_volume_marker,994 | 995 | 811 | 205 | 144,"The World's Strongest Rearguard: Labyrinth Country's Novice Seeker, Vol. 3 (Light Novel) | The World's Strongest Rearguard: Labyrinth Country's Novice Seeker, Vol. 4 (Light Novel) | The World’s Strongest Rearguard: Labyrinth Country’s Novice Seeker, Vol. 5 | The World’s Strongest Rearguard: Labyrinth Country’s Novice Seeker, Vol. 6 | The World’s Strongest Rearguard: Labyrinth Country’s Novice Seeker, Vol. 7"
Torture Princess: Fremd Torturchen,torture princess fremd torturchen,2,high,False,prefix_volume_marker,717 | 709,"Torture Princess: Fremd Torturchen, Vol. 6 | Torture Princess: Fremd Torturchen, Vol. 7"
Ultimate Antihero,ultimate antihero,4,high,False,prefix_volume_marker,526 | 531 | 510 | 513,Ultimate Antihero: Volume 1 | Ultimate Antihero:Volume 2 | Ultimate Antihero:Volume 3 | Ultimate Antihero:Volume 4
Unnamed Memory,unnamed memory,2,high,False,prefix_volume_marker,810 | 809,"Unnamed Memory, Vol. 1: The Witch of the Azure Moon and the Cursed Prince | Unnamed Memory, Vol. 2: The Queen Without a Throne"
Walking My Second Path in Life,walking my second path in life,3,high,False,prefix_volume_marker,115 | 118 | 112,Walking My Second Path in Life vol 1 Premium | Walking My Second Path in Life vol 2 Premium | Walking My Second Path in Life vol 3 Premium
Yuusha,yuusha,3,high,False,prefix_part_marker,871 | 870 | 869,"Yuusha Party ni Kawaii Ko ga Ita node, Kokuhaku Shitemita: Vol. 01 | Yuusha Party ni Kawaii Ko ga Ita node, Kokuhaku Shitemita: Vol. 02 | Yuusha Party no Kawaii Ko ga Ita no de, Kokuhaku Shite - Volume 3"
Zero no Tsukaima,zero no tsukaima,22,high,False,prefix_volume_marker,496 | 459 | 457 | 414 | 483 | 508 | 530 | 529 | 525 | 524 | 469 | 461 | 434 | 488 | 439 | 435 | 468 | 495 | 490 | 503 | 486 | 521,Zero no Tsukaima - Volume 22 | Zero no Tsukaima vol.01 | Zero no Tsukaima vol.02 | Zero no Tsukaima vol.03 | Zero no Tsukaima vol.04 | Zero no Tsukaima vol.05 | Zero no Tsukaima vol.06 | Zero no Tsukaima vol.07 | Zero no Tsukaima vol.08 | Zero no Tsukaima vol.09 | Zero no Tsukaima vol.10 | Zero no Tsukaima vol.11 | Zero no Tsukaima vol.12 | Zero no Tsukaima vol.13 | Zero no Tsukaima vol.14 | Zero no Tsukaima vol.15 | Zero no Tsukaima vol.16 | Zero no Tsukaima vol.17 | Zero no Tsukaima vol.18 | Zero no Tsukaima vol.19 | Zero no Tsukaima vol.20 | Zero no Tsukaima vol.21
